frame_id,prompt_variant,advice_text
90,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).",Danger! Yield to oncoming traffic.
90,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**URGENT HAZARD DETECTED**

**Most Urgent Hazard:** Pedestrian (Object 1) in immediate danger of being struck.

**IMMEDIATE ACTION REQUIRED:** **SLAM ON BRAKES**"
120,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).","Alert: Danger
Instruction: STOP IMMEDIATELY AND CHECK AHEAD"
120,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**URGENT HAZARD DETECTED**

**IMMEDIATE ACTION REQUIRED:**
SLAM ON BRAKES AND SLOW DOWN IMMEDIATELY!"
120,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).",Danger: Yield to pedestrian.
120,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**WARNING: Pedestrian Crosswalk**

""SLAM ON BRAKES, MAINTAIN DISTANCE NOW!"""
150,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).",Caution: Check mirrors and blind spots.
150,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**URGENT HAZARD DETECTED**

Single most urgent hazard: Blue vehicle crossing lane boundaries towards intersection.

**IMMEDIATE ACTION:** SLAM ON BRAKES TO MAINTAIN CONTROL."
150,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).","**Danger: Slow Down**
 Yield to Pedestrians and Van."
150,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**WARNING: Pedestrians on the left side of the road**

SLAM ON BRAKES NOW TO AVOID IMPACT!"
180,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).","Alert: Caution
Instruction: Slow down immediately"
180,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**URGENT HAZARD DETECTED**

Object: Blue Car (Approaching from Right)

Imperative Action: **Maintain Safe Distance, Reduce Speed Now!**"
180,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).",Danger: Slowing Down Now
180,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**URGENT HAZARD DETECTED**

The single most urgent hazard present in the scene is:

**Red Car: Type: Moving vehicle, Location: Middle of the road, approaching from the opposite direction, Direction: Towards the camera.**

**IMPERATIVE ACTION:** ""SLIGHTLY BRAKE, PREPARE TO STOP"""
210,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).",Caution Be Aware of Pedestrian Ahead
210,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","Based on the current scene, I identify the single most urgent hazard as:

**Pedestrian crossing**

Imperative action:
""BRING VEHICLE TO A SLOW AND SAFE STOP IMMEDIATELY."""
210,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).",Danger: Reduce Speed
210,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**Urgent Hazard:** Oncoming Vehicles

**Imperative Action:** **SLAM ON BRAKES!**"
240,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).",CAUTION: Yield to oncoming vehicle immediately!
240,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**URGENT HAZARD DETECTED**

 OBJECT: Approaching Car (Lane Change Hazard)

**IMPERATIVE ACTION**: STEER LEFT TO MAINTAIN CENTER LANE."
240,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).",Danger: Watch for pedestrians on the sidewalk.
240,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","Warning Level: CRITICAL

Urgent Hazard Detected:

**Vehicle in Front** is too close and not maintaining a safe distance from the motorcycle.

IMMEDIATE ACTION REQUIRED: SLOW DOWN TO 30 MPH OR LESS."
270,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).","Caution
Check blind spots regularly."
270,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**URGENT HAZARD DETECTED**

The single most urgent hazard is the vehicle ahead on the road.

IMPERATIVE ACTION: SLAM ON BRAKES IMMEDIATELY TO MAINTAIN DISTANCE!"
270,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).",Caution Slow Down and Watch Rear
270,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**Urgent Hazard:** Motorcycle handlebars in foreground.

**Imperative Action:** Yield to motorcycle, maintain safe distance immediately!"
300,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).","Alert: Caution
Instruction: Slow Down, Scan Surroundings"
300,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","OBJECTS:
- A cyclist is approaching, traveling in the opposite direction.

IMPERATIVE ACTION: YIELD TO CYCLIST, SLOW DOWN IMMEDIATELY."
300,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).","Alert: Caution
Instruction: Slow down to clear pedestrian"
300,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**URGENT HAZARD: Pedestrian approaching from the left**

**IMPERATIVE ACTION:** SLOW DOWN IMMEDIATELY AND GIVE WIDE PASSAGE!"
330,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).","Caution
Check traffic signs and yield slowly."
330,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**Hazard Identification:** Pedestrians crossing the road ahead with little visibility.

**Imperative Action:** SLOW DOWN IMMEDIATELY TO AVOID COLLISION!"
330,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).",**Danger**: Merge with Caution Now.
330,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**URGENT HAZARD IDENTIFICATION AND IMPERATIVE ACTION**

Based on the provided scene data, the single most urgent hazard is:

**OPPOSING TRAFFIC: VEHICLES COMING FROM THE OPPOSITE DIRECTION**

IMPERATIVE ACTION: **DECELERATE TO MINIMUM SPEED IMMEDIATELY TO AVOID COLLISION**"
360,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).","Alert: Caution
Instruction: Slow down for pedestrian crossing area."
360,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**URGENT HAZARD**: Pedestrian in direct path, immediate caution required.

IMPERATIVE ACTION: SLOW DOWN AND GIVE PEDESTRIAN SPACE NOW."
360,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).","Alert: Caution
Instruction: Slow down now!"
360,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","Urgent Hazard Identified: **Pedestrian** in Danger of Collision.

Imperative Action: **SLOW DOWN IMMEDIATELY TO AVOID COLLISION.**"
390,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).","Alert: Caution
Instruction: Reduce speed and watch pedestrian traffic."
390,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**URGENT HAZARD:** Pedestrian approaching from intersection in front of vehicle.

**IMPERATIVE ACTION:** SLAM ON BRAKES, PREPARE TO STOP IMMEDIATELY."
390,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).","Alert: Caution
Instruction: Slow down and watch for pedestrians"
390,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**Hazard Identification:** Tram Tracks

**Urgent Imperative Action:**
**SLIGHTEN STEERING, AVOID TRAM TRACKS.**"
420,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).",Caution: Look out for cars and tram tracks ahead.
420,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","WARNING:Pedestrian Ahead!

IMPERATIVE ACTION: SLOW DOWN IMMEDIATELY TO AVOID COLLISION!"
420,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).","Caution
Adjust speed now!"
420,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**URGENT HAZARD DETECTED**

**IMPERATIVE ACTION:** **STOP IMMEDIATELY AND CHECK BEHIND YOU!**

The single most urgent hazard in this scene is the road hazard of **Tram Tracks**, which spans the entire roadway and runs parallel to the direction of travel. The presence of tram tracks increases the risk of a collision, especially considering the high speed of vehicles on this road."
450,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).","Safe
Maintain speed, be alert for unexpected obstacles."
450,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**URGENT HAZARD DETECTED:**

Object detected: Pedestrian stepping off curb into lane.

**IMMEDIATE ACTION REQUIRED:**

SLOW DOWN IMMEDIATELY TO PREVENT HIT-AND-RUN INCIDENT."
450,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).",Danger: Check cyclist direction before passing!
450,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","URGENT ALERT: Cyclist in extreme foreground, exercise caution immediately."
480,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).","Safe
Check traffic signal ahead immediately"
480,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.",Alert driver of approaching pedestrian with uncertain intentions.
480,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).","**Danger**: Yield to Pedestrians.

**Caution**: Slow Down for Cars."
480,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**URGENT HAZARD DETECTED**

Single most urgent hazard: **Railway Tracks (type)**

**IMMEDIATE ACTION REQUIRED:** **SLAM ON BRAKES NOW**"
510,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).","Alert: Caution
Instruction: Yield to pedestrian on left"
510,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**ALERT**

Most Urgent Hazard: Pedestrian on Left Side of Road

IMMEDIATE ACTION: SLOW DOWN AND BE AWARE."
510,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).",Danger: Stop Immediately
510,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**URGENT HAZARD IDENTIFICATION**

Based on the scene analysis, I identify the single most urgent hazard as:

**Pedestrian**

**IMPERATIVE ACTION**

""STOP AND PROCEED WITH CAUTION!"""
540,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).","Alert: Caution
Instruction: Check surrounding intersections regularly"
540,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","Objects detected: Motorcyclist, 200 meters ahead, uncertain trajectory.

 Urgent hazard: Potential collision with motorcyclist.

IMMEDIATE ACTION: Maintain speed and following distance."
540,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).",Caution Be aware of pedestrian bridge.
540,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**Urgent Hazard:** Pedestrian Crossing Signal

**Imperative Action:** Reduce Speed and Be Alert!"
570,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).","Alert: Caution
Instruction: Check Traffic Lights Before Merging"
570,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**URGENT HAZARD DETECTED**

**IMPERATIVE ACTION:** CHECK NEXT TRAFFIC LIGHT BEFORE Merging or Changing Lanes.

Triggered by traffic light detection system."
570,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).","Danger: Stop
Check Traffic Light"
570,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","Based on the scene and objects provided, I identify the single most urgent hazard as:

**Vehicle Instrument Cluster**

Imperative action: **STOP IMMEDIATELY**

This is because the vehicle instrument cluster is directly in front of the viewer, occupying a significant portion of the image. Its presence may indicate a parked or stopped vehicle, which could pose a collision risk to other road users. The imperative action ""STOP IMMEDIATELY"" prioritizes caution and safety in this situation."
600,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).","Alert: Caution
Instruction: Slow down, be alert now"
600,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","Hazard Priority: Pedestrian Crossing Ahead with Limited Visibility.

Imperative Action: REDUCE SPEED IMMEDIATELY TO PREVENT COLLISION!"
600,"You are a motorcycle safety HUD. Given SCENE and OBJECTS, output one-word alert (Danger/Caution/Safe) and an imperative instruction (max 8 words).","Alert: Danger
Instruction: Stop immediately at red light."
600,"You are an ADAS system. From SCENE and OBJECTS, identify the single most urgent hazard and give a 5-10 word imperative action.","**Most Urgent Hazard:** Cyclist

**Imperative Action:** SLOW DOWN IMMEDIATELY TO AVOID COLLISION"
